Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
instant-jersey-hijab-black,JUBELAY Instant Jersey Hijab Set — Black | Ready to Wear with Magnetic Pins | Free Size,"<p>Slip on elegance in seconds with the JUBELAY Instant Jersey Hijab Set in classic Black.</p><p>No pins needed, no slipping, no fuss — just pure effortless style.</p><p><strong>WHAT'S INCLUDED:</strong></p><ul><li>1x Instant Jersey Hijab with Built-in Cap (Black)</li><li>2x Magnetic Hijab Pins (Gold finish)</li><li>1x Branded JUBELAY Pouch</li></ul><p><strong>WHY YOU'LL LOVE IT:</strong></p><ul><li>Ready in seconds — just slip on and go</li><li>Premium stretch jersey — soft, breathable</li><li>Built-in cap — no underscarf needed</li><li>Magnetic pins — secure without damage</li><li>Free size — fits comfortably</li></ul><p><strong>FABRIC &amp; CARE:</strong> 95% Cotton, 5% Spandex. Hand wash, hang dry.</p><p><strong>SHIPPING:</strong> FREE delivery above Rs. 2,000 | 2-5 days across Pakistan | COD available</p>",JUBELAY,Apparel & Accessories > Clothing Accessories > Scarves & Shawls > Hijabs,Hijab,"hijab, instant hijab, jersey hijab, jubelay, modest fashion, pakistan hijab, COD, black",TRUE,Title,Default Title,,,,,JUBELAY-HIJAB-BLK-001,80,shopify,50,deny,manual,1799,,TRUE,TRUE,,,,FALSE,JUBELAY Instant Jersey Hijab Black — Ready to Wear Pakistan | COD,Buy JUBELAY Instant Jersey Hijab Set Black. Ready-to-wear with magnetic pins. Free COD delivery Pakistan.,,,,,,,,g,,650,draft
instant-jersey-hijab-beige,JUBELAY Instant Jersey Hijab Set — Beige | Ready to Wear with Magnetic Pins | Free Size,"<p>Slip on elegance in seconds with the JUBELAY Instant Jersey Hijab Set in soft Beige.</p><p><strong>WHAT'S INCLUDED:</strong></p><ul><li>1x Instant Jersey Hijab with Built-in Cap (Beige)</li><li>2x Magnetic Hijab Pins (Gold finish)</li><li>1x Branded JUBELAY Pouch</li></ul><p>Premium stretch jersey. Free size. COD available across Pakistan.</p>",JUBELAY,Apparel & Accessories > Clothing Accessories > Scarves & Shawls > Hijabs,Hijab,"hijab, instant hijab, jersey hijab, jubelay, modest fashion, pakistan hijab, COD, beige",TRUE,Title,Default Title,,,,,JUBELAY-HIJAB-BEG-001,80,shopify,50,deny,manual,1799,,TRUE,TRUE,,,,FALSE,JUBELAY Instant Jersey Hijab Beige — Ready to Wear Pakistan | COD,Buy JUBELAY Instant Jersey Hijab Set Beige. Ready-to-wear with magnetic pins. Free COD delivery Pakistan.,,,,,,,,g,,650,draft
instant-jersey-hijab-dusty-rose,JUBELAY Instant Jersey Hijab Set — Dusty Rose | Ready to Wear with Magnetic Pins | Free Size,"<p>Slip on elegance in seconds with the JUBELAY Instant Jersey Hijab Set in Dusty Rose.</p><p><strong>WHAT'S INCLUDED:</strong></p><ul><li>1x Instant Jersey Hijab with Built-in Cap (Dusty Rose)</li><li>2x Magnetic Hijab Pins (Gold finish)</li><li>1x Branded JUBELAY Pouch</li></ul><p>Premium stretch jersey. Free size. COD available across Pakistan.</p>",JUBELAY,Apparel & Accessories > Clothing Accessories > Scarves & Shawls > Hijabs,Hijab,"hijab, instant hijab, jersey hijab, jubelay, modest fashion, pakistan hijab, COD, dusty rose",TRUE,Title,Default Title,,,,,JUBELAY-HIJAB-ROS-001,80,shopify,50,deny,manual,1799,,TRUE,TRUE,,,,FALSE,JUBELAY Instant Jersey Hijab Dusty Rose — Ready to Wear Pakistan | COD,Buy JUBELAY Instant Jersey Hijab Set Dusty Rose. Ready-to-wear with magnetic pins. Free COD delivery Pakistan.,,,,,,,,g,,650,draft
instant-jersey-hijab-olive,JUBELAY Instant Jersey Hijab Set — Olive Green | Ready to Wear with Magnetic Pins | Free Size,"<p>Slip on elegance in seconds with the JUBELAY Instant Jersey Hijab Set in Olive Green.</p><p><strong>WHAT'S INCLUDED:</strong></p><ul><li>1x Instant Jersey Hijab with Built-in Cap (Olive Green)</li><li>2x Magnetic Hijab Pins (Gold finish)</li><li>1x Branded JUBELAY Pouch</li></ul><p>Premium stretch jersey. Free size. COD available across Pakistan.</p>",JUBELAY,Apparel & Accessories > Clothing Accessories > Scarves & Shawls > Hijabs,Hijab,"hijab, instant hijab, jersey hijab, jubelay, modest fashion, pakistan hijab, COD, olive",TRUE,Title,Default Title,,,,,JUBELAY-HIJAB-OLV-001,80,shopify,50,deny,manual,1799,,TRUE,TRUE,,,,FALSE,JUBELAY Instant Jersey Hijab Olive — Ready to Wear Pakistan | COD,Buy JUBELAY Instant Jersey Hijab Set Olive Green. Ready-to-wear with magnetic pins. Free COD delivery Pakistan.,,,,,,,,g,,650,draft
instant-jersey-hijab-navy,JUBELAY Instant Jersey Hijab Set — Navy Blue | Ready to Wear with Magnetic Pins | Free Size,"<p>Slip on elegance in seconds with the JUBELAY Instant Jersey Hijab Set in Navy Blue.</p><p><strong>WHAT'S INCLUDED:</strong></p><ul><li>1x Instant Jersey Hijab with Built-in Cap (Navy Blue)</li><li>2x Magnetic Hijab Pins (Gold finish)</li><li>1x Branded JUBELAY Pouch</li></ul><p>Premium stretch jersey. Free size. COD available across Pakistan.</p>",JUBELAY,Apparel & Accessories > Clothing Accessories > Scarves & Shawls > Hijabs,Hijab,"hijab, instant hijab, jersey hijab, jubelay, modest fashion, pakistan hijab, COD, navy",TRUE,Title,Default Title,,,,,JUBELAY-HIJAB-NVY-001,80,shopify,50,deny,manual,1799,,TRUE,TRUE,,,,FALSE,JUBELAY Instant Jersey Hijab Navy — Ready to Wear Pakistan | COD,Buy JUBELAY Instant Jersey Hijab Set Navy Blue. Ready-to-wear with magnetic pins. Free COD delivery Pakistan.,,,,,,,,g,,650,draft
magnetic-hijab-pin-set,JUBELAY Magnetic Hijab Pin Set (6 pcs) — Gold & Silver,"<p>Secure your hijab without damaging fabric. JUBELAY Magnetic Hijab Pins — 6 pieces in Gold and Silver finish.</p><ul><li>Strong magnetic hold</li><li>No holes in fabric</li><li>6 pins per pack (3 Gold + 3 Silver)</li></ul><p>Perfect companion for your JUBELAY Instant Hijab Sets.</p>",JUBELAY,Apparel & Accessories > Clothing Accessories > Scarves & Shawls > Hijabs,Accessory,"hijab pins, magnetic pins, jubelay, hijab accessories, pakistan",TRUE,Title,Default Title,,,,,JUBELAY-PIN-GLD-001,30,shopify,100,deny,manual,499,,TRUE,TRUE,,,,FALSE,JUBELAY Magnetic Hijab Pin Set — Pakistan | COD,Buy JUBELAY Magnetic Hijab Pin Set 6 pcs. Gold & Silver. Free COD delivery Pakistan.,,,,,,,,g,,150,draft
hijab-underscarf-cap-2pack,JUBELAY Hijab Underscarf Cap — 2 Pack (Black & Beige),"<p>Comfortable cotton underscarf caps for a secure hijab base. 2-pack includes Black and Beige.</p><ul><li>Soft breathable cotton</li><li>One size fits all</li><li>Prevents slipping</li></ul>",JUBELAY,Apparel & Accessories > Clothing Accessories > Scarves & Shawls > Hijabs,Accessory,"underscarf, hijab cap, jubelay, hijab accessories, pakistan",TRUE,Title,Default Title,,,,,JUBELAY-CAP-2PK-001,50,shopify,100,deny,manual,399,,TRUE,TRUE,,,,FALSE,JUBELAY Hijab Underscarf Cap 2 Pack — Pakistan | COD,Buy JUBELAY Hijab Underscarf Cap 2 Pack Black & Beige. Free COD delivery Pakistan.,,,,,,,,g,,120,draft
starter-bundle-hijab-pins-cap,JUBELAY Starter Bundle — Hijab + Pins + Cap,"<p>Everything you need to start your JUBELAY journey. Save Rs. 300 with our Starter Bundle!</p><p><strong>INCLUDES:</strong></p><ul><li>1x JUBELAY Instant Jersey Hijab Set (your choice of color — note at checkout)</li><li>1x Magnetic Hijab Pin Set (6 pcs)</li><li>1x Hijab Underscarf Cap 2 Pack</li></ul><p>Free shipping included. COD available nationwide.</p>",JUBELAY,Apparel & Accessories > Clothing Accessories > Scarves & Shawls > Hijabs,Bundle,"hijab bundle, starter kit, jubelay, modest fashion, pakistan hijab, COD",TRUE,Color,Black,,,,,JUBELAY-BND-STR-BLK,150,shopify,30,deny,manual,2199,2499,TRUE,TRUE,,,,FALSE,JUBELAY Starter Bundle Hijab + Pins + Cap — Pakistan | COD,JUBELAY Starter Bundle. Instant Hijab + Magnetic Pins + Underscarf Cap. Save Rs. 300. COD Pakistan.,,,,,,,,g,,900,draft
starter-bundle-hijab-pins-cap,,,,,,,,,Color,Beige,,,,,JUBELAY-BND-STR-BEG,150,shopify,30,deny,manual,2199,2499,TRUE,TRUE,,,,,,,,,,,,g,,900,draft
starter-bundle-hijab-pins-cap,,,,,,,,,Color,Dusty Rose,,,,,JUBELAY-BND-STR-ROS,150,shopify,30,deny,manual,2199,2499,TRUE,TRUE,,,,,,,,,,,,g,,900,draft
